assembly_accession,locus_tag,product_accession,contigID,start,end
GCA_001027005.1,MCM1_1896,AKJ38920.1,,2372347,2372853
GCA_002494525.1,HKEGNHKA_00300,HKEGNHKA_00300,,80928,81614
GCA_000336975.1,C458_15097,ELZ63794.1,,8809,9447
GCA_001560195.1,AHFFPLAJ_00601,AHFFPLAJ_00601,,140660,141502
GCA_002898355.1,HRbin01_01462,GBC69758.1,,10105,10815
GCA_000744315.1,JGLJJCKF_00009,JGLJJCKF_00009,,12317,12919
GCA_001560555.1,JNMGENJO_02034,JNMGENJO_02034,,41774,42241
GCA_001484685.1,ADU37_CDS13300,ALV63029.1,,1123346,1124080
GCA_000405685.1,MOJINBJL_00179,MOJINBJL_00179,,31121,32011
GCA_000016605.1,Msed_1166,ABP95327.1,,1130924,1131757
GCA_000200715.1,CENSYa_0147,ABK76792.1,,120522,123233
GCA_000970205.1,MSMAS_0430,AKB63626.1,,531690,531890
GCA_001315945.1,MFNCFEDD_02086,MFNCFEDD_02086,,45348,45800
GCA_000195915.1,,CAC12456.1,,1384929,1385474
GCA_001587695.1,APG11_01850,KYC46510.1,,27,992
GCA_001316125.1,ICBEANHN_00658,ICBEANHN_00658,,375125,375778
GCA_001316165.1,OADDBBNO_00610,OADDBBNO_00610,,44061,44531
GCA_000019605.1,Kcr_0078,ACB06838.1,,77905,78720
GCA_002010075.1,CBEJEKJO_01404,CBEJEKJO_01404,,18578,19258
GCA_000979585.1,DU36_19535,KKG48644.1,,3724,4557
GCA_000230715.3,Natgr_3460,AFZ74579.1,,3428920,3429516
GCA_001316165.1,OADDBBNO_00605,OADDBBNO_00605,,40973,42037
GCA_000015145.1,Hbut_0710,ABM80565.1,,691718,692740
GCA_002501725.1,LDOBEMPF_00884,LDOBEMPF_00884,,28789,29505
GCA_000337575.1,C483_09424,ELY91750.1,,89646,90194
GCA_001719125.1,BFU36_13425,AOL17549.1,,2684416,2684706
GCA_000091665.1,MJ_0381,AAB98370.1,,345974,346936
GCA_002906575.1,C2R22_15710,AUV82907.1,,3227362,3227649
GCA_900079115.1,SSOP1_1572,SAI85126.1,,1390619,1390885
GCA_002508905.1,IHFBKJKA_00340,IHFBKJKA_00340,,11084,11608
GCA_001560315.1,COBLBLBO_00122,COBLBLBO_00122,,280,681
GCA_001560375.1,EEHAGKII_00631,EEHAGKII_00631,,40522,41358
GCA_000015805.1,Pcal_1267,ABO08691.1,,1176822,1177487
GCA_000979815.1,DU51_12640,KKH10305.1,,23595,24197
GCA_002116695.1,B6F84_00150,ARM74594.1,,66671,67408
GCA_900215215.1,SAMN06295989_10650,SNY16749.1,,61506,62270
GCA_001560285.1,JHIJBACK_01198,JHIJBACK_01198,,31818,32579
GCA_000336795.1,C456_13918,ELZ72051.1,,20774,21415
GCA_000784335.1,KKEKIMBA_03650,KKEKIMBA_03650,,10301,11059
GCA_000016605.1,Msed_1144,ABP95305.1,,1081125,1081490
GCA_900156475.1,SAMN05421752_12736,SIS20372.1,,13282,15912
GCA_000979925.1,DU85_15750,KKH52446.1,,11085,13148
GCA_000234805.1,P186_0956,AET32397.1,,800563,801450
GCA_000234805.1,P186_0875,AET32316.1,,744581,745249
GCA_000221185.1,GQS_00570,AEK72017.1,,129924,130181
GCA_002897955.1,BMS3Bbin15_00985,GBE54824.1,,3073,4194
GCA_000025685.1,HVO_A0212,ADE02207.1,,217356,217616
GCA_000337675.1,C491_13527,ELY55975.1,,7943,8920
GCA_002505535.1,BAMHNMGP_00974,BAMHNMGP_00974,,14459,15454
GCA_001484685.1,ADU37_CDS13330,ALV63032.1,,1126831,1127496
GCA_000019605.1,Kcr_0430,ACB07186.1,,438646,439482
GCA_002214585.1,A3L09_05950,ASJ02831.1,,1109007,1109684
GCA_001316125.1,ICBEANHN_04082,ICBEANHN_04082,,20738,21112
GCA_000245195.2,GPBCAKMG_01243,GPBCAKMG_01243,,1066632,1067240
GCA_000993805.1,MA03_02845,AKG38423.1,,546340,547725
GCA_000245095.2,NIOLAOMP_00981,NIOLAOMP_00981,,920236,921402
GCA_000979675.1,DU46_08085,KKG73220.1,,76013,76939
GCA_002355635.1,HIPEIFMM_01079,HIPEIFMM_01079,,1086082,1086897
GCA_001647085.1,A7C91_00015,ANF23559.1,,3515,4045
GCA_000243315.1,MetMK1DRAFT_00004270,EHP69925.1,,209628,210281
GCA_002214525.1,A3L12_06430,ASJ10960.1,,1193462,1195021
GCA_000245175.2,JFKDKKGG_00932,JFKDKKGG_00932,,896875,897594
GCA_000968395.1,SULC_1019,AKA76061.1,,984600,985208
GCA_000253055.1,TTX_1548,CCC82173.1,,1359284,1359931
GCA_000969985.1,MSBRW_0692,AKB49945.1,,834882,835145
GCA_000402915.1,EBEIIGGG_00046,EBEIIGGG_00046,,772,1047
GCA_900100385.1,SAMN05216226_102147,SDJ32780.1,,141238,141498
GCA_001560515.1,BIICEEPG_01975,BIICEEPG_01975,,278,679
GCA_001266735.1,MsedE_1181,AKV83169.1,,1124904,1125752
GCA_000022465.1,YG5714_0607,ACP44904.1,,572809,575946
GCA_002215565.1,IPGMGJGF_01814,IPGMGJGF_01814,,1639372,1640223
GCA_000979425.1,EO94_13610,KKG13763.1,,9286,9909
GCA_002252805.1,DJ80_12150,OYR61585.1,,6859,7977
GCA_002509015.1,DHDMMOJL_01988,DHDMMOJL_01988,,20151,20420
GCA_000011085.1,pNG4047,AAV44421.1,,38101,40233
GCA_000214415.1,Metig_0208,AEF95765.1,,211781,212383
GCA_000015225.1,Tpen_1310,ABL78707.1,,1255105,1255941
GCA_002508545.1,BKNODKHA_00669,BKNODKHA_00669,,4291,5841
GCA_000189955.2,GDJFNNHA_00128,GDJFNNHA_00128,,49847,52210
GCA_000979635.1,DU45_11065,KKG65775.1,,105317,106138
GCA_001266735.1,MsedE_1172,AKV83164.1,,1101300,1102154
GCA_002487355.1,AOIFKBFE_02025,AOIFKBFE_02025,,29207,29929
GCA_002504665.1,AFKHGDCG_00376,AFKHGDCG_00376,,28764,29480
GCA_001560065.1,EAAEAGMB_02152,EAAEAGMB_02152,,710947,711243
GCA_001508175.1,XD61_1488,KUK27974.1,,5499,5906
GCA_001729455.1,A9757_00645,OED03460.1,,8861,9655
GCA_000979335.1,DU31_12915,KKG03137.1,,13020,15083
GCA_000025505.1,Ferp_1866,ADC66007.1,,1616968,1617999
GCA_000151205.2,TAM4_2046,EEB73189.1,,468237,468773
GCA_001402855.1,AAY43_01310,ALK04588.1,,294486,295304
GCA_900111485.1,SAMN04488694_1507,SEU11530.1,,4675,5730
GCA_001560125.1,DBBCKIFB_01572,DBBCKIFB_01572,,1431970,1433259
GCA_002898395.1,HRbin02_01422,GBC71637.1,,11426,12439
GCA_002011035.1,IKDALMAK_00282,IKDALMAK_00282,,261898,262587
GCA_000011205.1,STK_00130,BAB64961.1,,17868,18479
GCA_000189575.1,SiH_0557,ADX81919.1,,535554,538202
GCA_000016605.1,Msed_1140,ABP95301.1,,1077185,1077943
GCA_001266695.1,MsedC_1158,AKV78667.1,,1079416,1080141
GCA_000213215.1,Ahos_1745,AEE94622.1,,1581552,1582520
GCA_000025525.1,MFS40622_1173,ADC69850.1,,1144125,1144475
GCA_000336975.1,C458_01035,ELZ72257.1,,212772,213032
GCA_000969985.1,MSBRW_0689,AKB49942.1,,828093,828716
GCA_000148385.1,Vdis_1161,ADN50548.1,,1104390,1105625
GCA_001726015.1,A8273_1613,ODV49089.1,,58474,59127
GCA_002495685.1,GGDPLPCN_00606,GGDPLPCN_00606,,16525,17505
GCA_000013725.1,Mbur_1125,ABE52051.1,,1207778,1210420
GCA_000190115.2,FNGJBKBO_00136,FNGJBKBO_00136,,24444,24887
GCA_001560065.1,EAAEAGMB_02189,EAAEAGMB_02189,,36551,37156
GCA_001266715.1,MsedD_1184,AKV80933.1,,1130940,1131773
GCA_000245115.2,ELEAMKNB_01978,ELEAMKNB_01978,,34034,35323
GCA_001560755.1,BMOELBDG_00586,BMOELBDG_00586,,573322,574506
GCA_002010075.1,CBEJEKJO_01383,CBEJEKJO_01383,,687,1727
GCA_001856825.1,AMDU3_IPLC00004G0443,EQB64865.1,,417457,417963
GCA_001266735.1,MsedE_1184,AKV83172.1,,1129361,1129996
GCA_000245255.2,OEHBGHGL_00009,OEHBGHGL_00009,,8743,9489
GCA_000226975.3,CHINAEXTREME_20730,APX00236.1,,85873,86898
GCA_002504985.1,FAIEOHDO_00651,FAIEOHDO_00651,,172808,173845
GCA_001560685.1,ILGFBMPN_02172,ILGFBMPN_02172,,146507,147412
GCA_000371805.1,IGBKDIJD_00323,IGBKDIJD_00323,,293833,295749
GCA_002010305.1,JIGLKENP_01958,JIGLKENP_01958,,41689,41967
GCA_001559965.1,BOJFONCB_02146,BOJFONCB_02146,,683738,684640
GCA_000979295.1,EO95_17990,KKH99570.1,,3953,5866
GCA_000258515.1,PMECMBPP_01551,PMECMBPP_01551,,378103,379182
GCA_000979175.1,DU50_13850,KKH36212.1,,10537,11106
GCA_000024745.1,Ssol_2281,ACX92462.1,,2074180,2074479
GCA_002506105.1,ODEJEPMP_00504,ODEJEPMP_00504,,46694,46987
GCA_001587575.1,APG12_01686,KYC49073.1,,226,489
GCA_000336835.1,C459_16951,ELZ60426.1,,116838,119000
GCA_000245255.2,OEHBGHGL_00132,OEHBGHGL_00132,,128733,129602
GCA_000025505.1,Ferp_1851,ADC65994.1,,1603897,1607163
GCA_000338775.1,SacRon12I_09305,AGE74088.1,,1685137,1686321
GCA_000691865.1,EI28_08700,KDE56474.1,,8486,9163
GCA_000215995.1,PYCH_14510,AEH25121.1,,1270469,1271452
GCA_002252585.1,JBCPGOIN_00144,JBCPGOIN_00144,,149873,150157
GCA_002010045.1,GLICIPPC_01352,GLICIPPC_01352,,6621,7541
GCA_000762265.1,BRM9_1438,AIS32252.1,,1484822,1487263
GCA_000190135.2,DPECFMIL_00074,DPECFMIL_00074,,24390,24833
GCA_001683555.1,A9957_03865,OBZ34349.1,,54141,55109
GCA_001418715.1,AMR53_03785,KQH82729.1,,61301,62062
GCA_001761425.1,AQV86_04325,AOV95122.1,,802073,804496
GCA_002495055.1,JOJMOIPJ_02329,JOJMOIPJ_02329,,5916,7070
GCA_900110865.1,SAMN04489841_1402,SEQ30021.1,,171209,172204
GCA_000979915.1,DU54_13155,KKH35540.1,,13021,15084
GCA_000632495.1,CM19_07010,EZQ07085.1,,386295,387125
GCA_000980025.1,DU87_09135,KKH68243.1,,10531,12768
GCA_001560065.1,EAAEAGMB_02150,EAAEAGMB_02150,,708262,709056
GCA_900012635.1,CHITON_0199,CUX76978.1,,164737,165720
GCA_000245255.2,OEHBGHGL_00134,OEHBGHGL_00134,,130094,130447
GCA_002215405.1,FDHNNBBL_01984,FDHNNBBL_01984,,1797256,1797723
GCA_002214505.1,A3L11_06190,ASJ08833.1,,1151662,1152426
GCA_000213215.1,Ahos_0378,AEE93269.1,,376884,377816
GCA_000979755.1,DU69_17995,KKG91781.1,,77183,77857
GCA_000968355.1,SULB_2305,AKA74470.1,,2121512,2122069
GCA_900196725.1,MNV_80002,SNQ62601.1,,203,496
GCA_000364745.1,SiL_0602,AGJ62067.1,,581255,581995
GCA_001560405.1,CBFEEOME_01818,CBFEEOME_01818,,22814,23281
GCA_000336835.1,C459_12595,ELZ62649.1,,51375,52421
GCA_000970005.1,MSWH1_1804,AKB22075.1,,2224155,2226455
GCA_900198835.1,OAOADCOO_02010,OAOADCOO_02010,,1822846,1823796
GCA_000969925.1,MSTHC_1796,AKB16114.1,,2228139,2228858
GCA_001560115.1,CMGKDJEF_00764,CMGKDJEF_00764,,753124,753879
GCA_001316045.1,IKCEDMHP_02462,IKCEDMHP_02462,,5134,5736
GCA_000979825.1,DU62_10145,KKH05506.1,,15710,16000
GCA_000979335.1,DU31_12910,KKG03136.1,,12256,13023
GCA_002508505.1,NCMODBLN_00417,NCMODBLN_00417,,21401,21829
GCA_000025525.1,MFS40622_0585,ADC69276.1,,570145,571524
GCA_002495725.1,GIJNIGPB_02603,GIJNIGPB_02603,,31586,31876
GCA_002508475.1,EONACGKD_01651,EONACGKD_01651,,117927,120518
GCA_000979275.1,DU82_17855,KKH80452.1,,33872,34546
GCA_000007305.1,PF1130,AAL81254.1,,1080337,1081353
GCA_002487355.1,AOIFKBFE_02809,AOIFKBFE_02809,,105643,106341
GCA_000258515.1,PMECMBPP_01550,PMECMBPP_01550,,376694,378106
GCA_002009975.1,NLGENHDN_01461,NLGENHDN_01461,,104475,104882
GCA_001595815.1,AYK19_19390,KYK29651.1,,3656,4612
GCA_000979675.1,DU46_11680,KKG69185.1,,16046,17017
GCA_000979815.1,DU51_08185,KKH06160.1,,167759,169522
GCA_001560285.1,JHIJBACK_02217,JHIJBACK_02217,,127564,127860
GCA_002499145.1,CPHEGNMP_01522,CPHEGNMP_01522,,8625,9350
GCA_000214415.1,Metig_1248,AEF96785.1,,1253325,1253774
GCA_000235685.3,CGFIDJIH_00840,CGFIDJIH_00840,,793988,794878
GCA_000980155.1,DU81_13840,KKI05697.1,,10566,11135
GCA_000784355.1,FHEJMPDJ_01512,FHEJMPDJ_01512,,212478,213458
GCA_000195895.1,Mbar_A0553,AAZ69534.1,,662689,663510
GCA_000190115.2,FNGJBKBO_00137,FNGJBKBO_00137,,24911,25633
GCA_002494745.1,MHGNJMBD_01316,MHGNJMBD_01316,,6681,9074
GCA_000980055.1,DU86_07575,KKH72743.1,,38777,39598
GCA_000337615.1,C487_03058,ELY81855.1,,1087,1350
GCA_001402855.1,AAY43_03875,ALK04999.1,,895418,896431
GCA_001266655.1,MsedA_1186,AKV74199.1,,1134540,1135184
GCA_000421805.1,AAJOCJMH_02454,AAJOCJMH_02454,,641,1414
GCA_000015805.1,Pcal_0266,ABO07703.1,,260813,261526
GCA_000190095.2,PDNALMCC_01713,PDNALMCC_01713,,1852,2358
GCA_002499755.1,KGANPNEC_01011,KGANPNEC_01011,,6825,7721
GCA_002356395.1,tca_01045,BAZ99104.1,,976537,977448
GCA_000189795.2,JOHFCPGL_00321,JOHFCPGL_00321,,182946,183629
GCA_002508665.1,MIFEAEBD_01442,MIFEAEBD_01442,,171610,172644
GCA_002215565.1,IPGMGJGF_01977,IPGMGJGF_01977,,1824603,1825508
GCA_001560635.1,ABOLPMBH_02308,ABOLPMBH_02308,,104370,105272
GCA_002499035.1,ILHJLMCN_01533,ILHJLMCN_01533,,132655,133674
GCA_001560455.1,GALLAPDK_02205,GALLAPDK_02205,,37579,38415
GCA_000340315.1,SacN8_09835,AGE71924.1,,1800639,1801541
GCA_001560645.1,AEPHJOEN_02380,AEPHJOEN_02380,,105144,105440
GCA_002010045.1,GLICIPPC_01351,GLICIPPC_01351,,5539,6624
GCA_001508745.1,XD40_1774,KUJ93047.1,,18491,18958
GCA_001316085.1,CIBGEIDD_02560,CIBGEIDD_02560,,205,483
GCA_001508065.1,XD54_1990,KUK16724.1,,4669,4926
GCA_000565255.1,ASUL_08844,EWG06575.1,,8725,9456
GCA_000007305.1,PF1126,AAL81250.1,,1074447,1075334
GCA_900079115.1,SSOP1_1498,SAI85052.1,,1310578,1311279
GCA_000190315.1,VMUT_0591,ADY00802.1,,560024,560782
GCA_000190095.2,PDNALMCC_01711,PDNALMCC_01711,,601,864
GCA_000968355.1,SULB_2376,AKA74531.1,,2206809,2208221
GCA_001481685.1,EYM_05170,ALU11829.1,,901265,902173
GCA_002497345.1,FAGMFFNC_00735,FAGMFFNC_00735,,16971,17912
GCA_000211475.1,PNA2_1822,AEC52737.1,,1702153,1702818
GCA_001560285.1,JHIJBACK_02343,JHIJBACK_02343,,47592,49592
GCA_000970045.1,MSMTP_2834,AKB26303.1,,3695407,3697068
GCA_001560305.1,PJMKINCC_01338,PJMKINCC_01338,,56550,57386
GCA_000979825.1,DU62_08515,KKH14812.1,,76027,76953
GCA_000364745.1,SiL_1967,AGJ63411.1,,1806353,1806961
GCA_900003525.1,KLJDLGHK_03130,KLJDLGHK_03130,,84564,87248
GCA_000231015.3,Desfe_1023,AFL66905.1,,985712,986665
GCA_000151205.2,TAM4_1890,EEB73033.1,,475549,476286
GCA_000189815.2,EIELJFNK_01926,EIELJFNK_01926,,190,867
GCA_002505895.1,HOPMLNDI_01826,HOPMLNDI_01826,,14100,14717
GCA_000190135.2,DPECFMIL_00076,DPECFMIL_00076,,25616,26572
GCA_002497655.1,JKPBIJGD_01238,JKPBIJGD_01238,,16737,17462
GCA_000698785.1,NVIE_017310,AIC15992.1,,1479614,1479910
GCA_002877855.1,C0201_04700,PMP59560.1,,31330,32001
GCA_000685155.1,ANME2D_00564,KCZ73496.1,,508739,509305
GCA_001516585.1,AT710_08630,KUO90621.1,,965,1969
GCA_001543015.1,LLEJGLJK_01570,LLEJGLJK_01570,,14440,15426
GCA_000023985.1,Mefer_1440,ACV25244.1,,1352015,1354378
GCA_001560725.1,OHBKOFBI_01670,OHBKOFBI_01670,,71848,73137
GCA_001315945.1,MFNCFEDD_02078,MFNCFEDD_02078,,41291,41587
GCA_000265525.1,CL1_1955,AFL96150.1,,1872003,1872884
GCA_002215525.1,PGEJMNCI_02010,PGEJMNCI_02010,,1863782,1864249
GCA_001266695.1,MsedC_1183,AKV78688.1,,1130938,1131771
GCA_001560245.1,KKDDGCAJ_01791,KKDDGCAJ_01791,,26183,27100
GCA_001316085.1,CIBGEIDD_01975,CIBGEIDD_01975,,18599,19201
GCA_000969965.1,MSWHS_2617,AKB19480.1,,3188743,3189366
GCA_000017165.1,Mevan_0233,ABR54142.1,,275651,277948
GCA_000949015.1,TZ01_03135,KJE50062.1,,632062,632700
GCA_000979265.1,DU80_19505,KKH83186.1,,8919,9851
GCA_002503585.1,AIGGBOHE_00657,AIGGBOHE_00657,,19185,19802
GCA_000275605.1,PFC_01010,AFN03175.1,,195050,196378
GCA_002243045.1,OCNMKEAD_00172,OCNMKEAD_00172,,74981,75859
GCA_001729455.1,A9757_08425,OED06633.1,,1,248
GCA_000979345.1,DU47_09690,KKG02051.1,,2288,2878
GCA_001316305.1,LLIMOCND_00817,LLIMOCND_00817,,13615,14268
GCA_000015145.1,Hbut_0652,ABM80509.1,,631227,632222
GCA_000337895.1,C446_13589,EMA34110.1,,3229,4308
GCA_001560355.1,DBFJMMEK_01752,DBFJMMEK_01752,,15904,16665
GCA_900111485.1,SAMN04488694_1505,SEU11510.1,,1751,2557
GCA_000979925.1,DU85_20260,KKH43735.1,,6530,7204
GCA_000245235.2,PMPIPMEH_00897,PMPIPMEH_00897,,866713,867141
GCA_002078205.2,B7L70_02200,PLC68685.1,,33554,34366
GCA_001577565.1,AWU59_499,KXS44425.1,,4875,5528
GCA_002497395.1,MAMCNNDA_00405,MAMCNNDA_00405,,12468,14729
GCA_001729965.1,NL43_07890,OED29513.1,,7071,7571
GCA_001559965.1,BOJFONCB_02023,BOJFONCB_02023,,549400,550065
GCA_000337655.1,C490_03373,ELY72597.1,,64693,65289
GCA_000245115.2,ELEAMKNB_01974,ELEAMKNB_01974,,31250,31861
GCA_002194565.1,Pdsh_06835,OWJ54506.1,,32451,32882
GCA_001560605.1,BPJJOKJI_02066,BPJJOKJI_02066,,2276,2572
GCA_000258425.1,FFONT_0063,AFH42057.1,,53561,54670
GCA_001560795.1,DKHEPMGO_01638,DKHEPMGO_01638,,7473,8159
GCA_002507065.1,PBMPGCGL_00193,PBMPGCGL_00193,,17215,18186
GCA_000008265.1,PTO0054,AAT42639.1,,59180,59902
GCA_000504565.2,HISP_17980,AHB67952.1,,98048,98308
GCA_000215995.1,PYCH_09570,AEH24642.1,,844318,844935
GCA_000020905.1,DKAM_0791,ACL11117.1,,765022,766020
GCA_000336975.1,C458_01050,ELZ72260.1,,214574,217219
GCA_001595875.1,AYK24_05705,KYK24883.1,,30222,30800
GCA_000014945.1,Mthe_0637,ABK14427.1,,663526,664101
GCA_000968435.1,SULA_2513,AKA80028.1,,2350171,2350896
GCA_001316205.1,BCDGHCHE_04039,BCDGHCHE_04039,,7023,7604
GCA_002506585.1,AFOFMECC_01507,AFOFMECC_01507,,7673,8359
GCA_001560525.1,NGHHJGKP_01882,NGHHJGKP_01882,,31788,32549
GCA_001006045.1,GAH_00432,AKG92216.1,,372846,374291
GCA_000970285.1,MSHOH_2253,AKB78736.1,,2719807,2721033
GCA_000970085.1,MSSIT_1871,AKB28590.1,,2335619,2336602
GCA_000336875.1,C463_14200,ELZ40750.1,,27589,28707
GCA_000015945.1,Smar_0311,ABN69424.1,,326714,329536
GCA_002503585.1,AIGGBOHE_00643,AIGGBOHE_00643,,5799,6743
GCA_000007225.1,PAE0109,AAL62566.1,,57805,60177
GCA_000979755.1,DU69_17975,KKG91777.1,,71585,73603
GCA_000025505.1,Ferp_1863,ADC66004.1,,1613763,1614557
GCA_002763265.1,COT72_04370,PIN99796.1,,17645,17917
GCA_001888095.1,MPF_0403,OJH49615.1,,106722,107519
GCA_000190135.2,DPECFMIL_00077,DPECFMIL_00077,,26572,27675
GCA_000970005.1,MSWH1_2436,AKB22707.1,,2986963,2988042
GCA_001560715.1,GKDKIAIE_02293,GKDKIAIE_02293,,140625,141461
GCA_002504725.1,PDBAAAPJ_01588,PDBAAAPJ_01588,,113566,114159
GCA_002011165.1,KINEACGF_00829,KINEACGF_00829,,31710,32258
GCA_002813085.1,BK798_05265,ATZ59867.1,,1069729,1070412
GCA_000007225.1,PAE0114,AAL62569.1,,61965,62891
GCA_002011125.1,GNPJGAHB_01903,GNPJGAHB_01903,,71240,72238
GCA_002505895.1,HOPMLNDI_01037,HOPMLNDI_01037,,7480,8289
GCA_900079115.1,SSOP1_2135,SAI85689.1,,1894351,1895220
GCA_001719125.1,BFU36_00050,AOL15392.1,,23130,23858
GCA_000494205.1,KLFKALOH_01357,KLFKALOH_01357,,29287,29568
GCA_000258515.1,PMECMBPP_01564,PMECMBPP_01564,,390668,390925
GCA_000769655.1,TEU_10800,AIU70782.1,,1966951,1969830
GCA_002499625.1,ENNNKFNC_01041,ENNNKFNC_01041,,4714,5412
GCA_002495025.1,NABFEOIC_01132,NABFEOIC_01132,,2974,3900
GCA_900100715.1,SAMN04488589_2155,SDG10160.1,,49454,50332
GCA_000398505.1,CLFOFECK_00286,CLFOFECK_00286,,36122,36829
GCA_000979935.1,DU72_02930,KKH52398.1,,29762,30172
GCA_000022425.1,M1627_0963,ACP54888.1,,944273,944800
GCA_002897955.1,BMS3Bbin15_00571,GBE54418.1,,7043,7582
GCA_000013445.1,Mhun_0744,ABD40497.1,,859983,860642
GCA_000012285.1,Saci_0274,AAY79690.1,,231354,231965
GCA_000337135.1,C482_02516,ELZ04993.1,,10057,10317
GCA_000265525.1,CL1_1954,AFL96149.1,,1871398,1872006
GCA_000979125.1,DU60_04290,KKH32279.1,,8609,9232
GCA_001316025.1,FEHKMECB_01716,FEHKMECB_01716,,14332,14961
GCA_002502845.1,MAJGICAI_01622,MAJGICAI_01622,,10590,11315
GCA_000784355.1,FHEJMPDJ_00429,FHEJMPDJ_00429,,11130,12044
GCA_002214465.1,A3L01_02320,ASJ04252.1,,417045,417818
GCA_000979735.1,DU61_05850,KKG81917.1,,40231,40659
GCA_000204925.1,Mcup_1141,AEB95246.1,,1025169,1025732
GCA_000979125.1,DU60_00490,KKH30937.1,,1964,3727
GCA_002505765.1,MPLNHLNP_01566,MPLNHLNP_01566,,30485,31204
GCA_001560795.1,DKHEPMGO_01640,DKHEPMGO_01640,,8470,9654
GCA_000979475.1,EO96_08125,KKG21473.1,,34607,35230
GCA_002634415.1,ANLMPLNA_03336,ANLMPLNA_03336,,12245,14635
GCA_000018365.1,TON_0896,ACJ16384.1,,824617,825486
GCA_001560275.1,GKBDGCJL_02089,GKBDGCJL_02089,,47380,49380
GCA_000965745.1,IX51_06685,AKA48841.1,,1256484,1258712
GCA_002906215.1,GEJPPLMA_00173,GEJPPLMA_00173,,151478,152533
GCA_000020905.1,DKAM_0774,ACL11100.1,,742281,744110
GCA_001305655.1,HLASA_0861,ALG81759.1,,832622,834733
GCA_000024305.1,LD85_0942,ADB86646.1,,795720,796412
GCA_000151085.1,ABOONEI_2517,EDY34305.1,,4767,5585
GCA_002505925.1,ELPLKGLN_01095,ELPLKGLN_01095,,65552,66463
GCA_002011165.1,KINEACGF_00356,KINEACGF_00356,,103882,104397
GCA_000970225.1,MSMAL_1315,AKB67858.1,,1621511,1622947
GCA_000024745.1,Ssol_2276,ACX92457.1,,2069056,2069991
GCA_001560645.1,AEPHJOEN_01820,AEPHJOEN_01820,,15936,16697
GCA_001011115.1,HLASF_0869,AKH97362.1,,839480,840472
GCA_002506095.1,ALKMMDLD_01688,ALKMMDLD_01688,,10633,12924
GCA_001316185.1,GBHIDFOB_01958,GBHIDFOB_01958,,43247,43597
GCA_001560525.1,NGHHJGKP_01887,NGHHJGKP_01887,,37021,37776
GCA_002503565.1,BFIHCEDP_00675,BFIHCEDP_00675,,2367,3311
GCA_001560565.1,HGEKADFK_00024,HGEKADFK_00024,,22862,23851
GCA_000979845.1,DU48_10205,KKH17404.1,,37618,40053
GCA_002509565.1,KCGEAFKK_00645,KCGEAFKK_00645,,63379,64314
GCA_001719125.1,BFU36_00070,AOL15394.1,,28100,28921
GCA_000245275.2,BBOLJCCI_00944,BBOLJCCI_00944,,897705,898310
GCA_000245135.2,ANGOGFEL_00115,ANGOGFEL_00115,,101531,102436
GCA_001560685.1,ILGFBMPN_01570,ILGFBMPN_01570,,40825,41661
GCA_000015225.1,Tpen_1289,ABL78687.1,,1230517,1231515
GCA_000281695.1,NJ7G_0929,AFO56177.1,,841380,842372
GCA_002505925.1,ELPLKGLN_01091,ELPLKGLN_01091,,60887,61882
GCA_000979895.1,DU37_09030,KKH34018.1,,29409,30626
GCA_001484685.1,ADU37_CDS18300,ALV63529.1,,1547812,1548861
GCA_001315925.1,GCPPHECD_00797,GCPPHECD_00797,,41391,41870
GCA_000495735.1,JCHSAcid_11810,ESQ24937.1,,199054,199665
GCA_900114025.1,SAMN05443661_1104,SFI94757.1,,1975,4602
GCA_000204925.1,Mcup_1138,AEB95243.1,,1021527,1022216
GCA_000970065.1,MSBR2_2602,AKB59118.1,,3397292,3398023
GCA_002506165.1,NIKFBBKA_00155,NIKFBBKA_00155,,21719,22399
GCA_001266715.1,MsedD_1180,AKV80929.1,,1125727,1126554
GCA_000979345.1,DU47_05450,KKF98651.1,,43352,43801
GCA_000698785.1,NVIE_025780,AIC16848.1,,2172247,2172945
GCA_000385565.1,Asulf_01248,AGK61244.1,,1144543,1145262
GCA_002214505.1,A3L11_08490,ASJ09263.1,,1578573,1579622
GCA_000430485.1,AEIHIJLH_01738,AEIHIJLH_01738,,159095,159658
GCA_000398765.1,EJAAJFKD_00978,EJAAJFKD_00978,,30201,31238
GCA_002172355.1,CBC92_01305,OUV72919.1,,1326,2573
GCA_002495625.1,KJBCMANH_00976,KJBCMANH_00976,,42538,43257
GCA_000213215.1,Ahos_1740,AEE94617.1,,1576675,1577538
GCA_002855455.1,CYV19_02260,PLK21679.1,,1312,1908
GCA_900111485.1,SAMN04488694_15419,SEU12503.1,,8293,9054
GCA_000691505.2,EL22_22900,KDE59363.1,,177598,178158
GCA_000364745.1,SiL_0385,AGJ61859.1,,337071,337967
GCA_001368915.1,BN996_03495,CQR53171.1,,247707,248699
GCA_002506845.1,GJLEHCPH_01087,GJLEHCPH_01087,,15879,16481
GCA_000245195.2,GPBCAKMG_01927,GPBCAKMG_01927,,4499,5212
GCA_000245175.2,JFKDKKGG_00931,JFKDKKGG_00931,,895373,896878
GCA_001587595.1,AN188_00831,KYC54667.1,,7891,8625
GCA_001508695.1,XE11_1806,KUL02336.1,,6418,8733
GCA_000270325.1,CSUB_C1005,BAJ50858.1,,976183,977073
GCA_000723845.1,EMNAJBJC_02298,EMNAJBJC_02298,,2176175,2177161
